order_line_id,customer_reference,original_mpn_or_specification,selected_mpn,digikey_sku,required_quantity,required_unit,cart_quantity,extended_price_cad,availability,use,notes
ORDER-LINE-015,CS-015,C3216X7R1E106K160AB,CL31B106KLHNNNE,1276-3103-1-ND,3,each,10,7.46,Immediate,controller: C44; sensor: C1 C2,Samsung 10 uF 35 V X7R 1206 replaces TDK 10 uF 25 V. Bias screening and physical fit reviewed in passive-research.json.
ORDER-LINE-016,CS-016,CRCW25126R80FKEGHP,CRCW25126R80FKEGHP,541-6.80RCT-ND,2,each,3,3.66,Immediate,controller: R68 R69,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-017,CS-017,ERA3AEB103V,ERA-3AEB103V,P10KDBCT-ND,1,each,2,0.34,Immediate,controller: R15,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-018,CS-018,ERA3AEB9532V,ERA-3AEB9532V,P95.3KDBCT-ND,1,each,2,0.34,Immediate,controller: R14,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-019,CS-019,ERJ3EKF1000V,ERJ-3EKF1000V,P100HCT-ND,4,each,10,0.61,Immediate,controller: R20 R80 R82 R84,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-020,CS-020,ERJ3EKF1001V,ERJ-3EKF1001V,P1.00KHCT-ND,1,each,10,0.61,Immediate,controller: R42,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-021,CS-021,ERJ3EKF1002V,ERJ-3EKF1002V,P10.0KHCT-ND,16,each,25,1.12,Immediate,controller: R2 R11 R12 R46 R50 R51 R52 R53 R64 R65 R66 R67 R81 R83 R85; sensor: R5,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-022,CS-022,ERJ3EKF1003V,ERJ-3EKF1003V,P100KHCT-ND,1,each,10,0.61,Immediate,controller: R43,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-023,CS-023,ERJ3EKF22R0V,ERJ-3EKF22R0V,P22.0HCT-ND,8,each,10,0.61,Immediate,controller: R44 R45 R62 R63 R70 R71; sensor: R1 R2,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-024,CS-024,ERJ3EKF2701V,ERJ-3EKF2701V,P2.70KHCT-ND,6,each,10,0.61,Immediate,controller: R60 R61 R72 R73; sensor: R3 R4,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-025,CS-025,ERJ3EKF3011V,ERJ-3EKF3011V,P3.01KHCT-ND,1,each,10,0.61,Immediate,sensor: R6,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-026,CS-026,ERJ3EKF3300V,CRCW0603330RFKEA,541-330HCT-ND,1,each,10,0.5,Immediate,controller: R55,"Vishay 330 ohm 1% 0603 replaces Panasonic 330 ohm 1% 0603; 0.125 W versus 0.1 W, same temperature coefficient."
ORDER-LINE-027,CS-027,ERJ3EKF5101V,ERJ-3EKF5101V,P5.10KHCT-ND,2,each,10,0.64,Immediate,controller: R40 R41,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-028,CS-028,ERJ3EKF6800V,ERJ-3EKF6800V,P680HCT-ND,1,each,10,0.64,Immediate,controller: R54,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-029,CS-029,ESDS312DBVR,ESDS312DBVR,296-51112-1-ND,3,each,3,3.69,Immediate,controller: U11 U13; sensor: U3,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-030,CS-030,ESP32-C6-WROOM-1-N8,ESP32-C6-WROOM-1-N8,1965-ESP32-C6-WROOM-1-N8CT-ND,1,each,1,8.67,Immediate,controller: U1,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-031,CS-031,FDC1004DGSR,FDC1004DGSR,296-48544-1-ND,1,each,1,6.51,Immediate,sensor: U1,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-032,CS-032,FSUSB42MUX,FSUSB42MUX,FSUSB42MUXCT-ND,1,each,1,1.3,Immediate,controller: U8,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-034,CS-034,GRM32ER71E226ME15L,CGA6P3X7R1E226M250AB,445-180363-1-ND,10,each,10,17.78,Immediate,controller: C1 C2 C3 C4 C5 C47; mains: C2 C3 C4 C6,TDK 22 uF 25 V X7R 1210 replaces Murata; improved typical DC-bias retention. Body maximum height increases 0.1 mm. See passive-research.json.
ORDER-LINE-035,CS-035,IRM-45-12,IRM-45-12,1866-3053-ND,1,each,1,21.1,Immediate,mains: U1,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-036,CS-036,PR02FS0201000KA100,PR02FS0201000KR500,BC3366CT-ND,1,each,1,0.72,Immediate,mains: R1,Same Vishay PR02-FS 100 ohm fusible resistor; reel versus ammo packaging only.
ORDER-LINE-037,CS-037,S2B-XH-A,S2B-XH-A,455-S2B-XH-A-ND,1,each,1,0.21,Immediate,controller: J2,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-038,CS-038,SMBJ7.0A,SMBJ7.0A,SMBJ7.0ALFCT-ND,2,each,2,1.56,Immediate,controller: D7 D8,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-039,CS-039,SN74LVC1G08DBVR,SN74LVC1G08DBVR,296-11601-1-ND,1,each,10,1.2,Immediate,controller: U6,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-040,CS-040,SN74LVC1G14DBVR,SN74LVC1G14DBVR,296-11607-1-ND,1,each,10,1.47,Immediate,controller: U7,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-041,CS-041,SRP5030TA-4R7M,SRP5030TA-4R7M,SRP5030TA-4R7MCT-ND,2,each,2,3.44,Immediate,controller: L1; mains: L1,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-042,CS-042,STPS2L40U,STPS2L40U,497-5574-1-ND,6,each,10,5.25,Immediate,controller: D1 D2 D9 D10 D11; sensor: D2,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-043,CS-043,TCA9517ADGKR,TCA9517ADGKR,296-39220-1-ND,2,each,2,3.82,Immediate,controller: U3 U12,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-046,CS-046,TPS3808G01DBVR,TPS3808G01DBVR,296-17188-1-ND,1,each,1,3.06,Immediate,controller: U4,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-047,CS-047,TPS7A2433DBVR,TPS7A2433DBVR,296-TPS7A2433DBVRCT-ND,1,each,1,1.11,Immediate,sensor: U2,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-048,CS-048,USB4105-GF-A,USB4105-GF-A,2073-USB4105-GF-ACT-ND,1,each,1,1.17,Immediate,controller: J4,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-050,CS-050,WP710A10LGD,HLMP-1790,516-1310-ND,1,each,2,1.9,Immediate,controller: D4,Broadcom low-current 3 mm green LED replaces Kingbright. Nominal 2.54 mm pitch and existing drive current fit; observe cathode marking.
ORDER-LINE-051,CS-051,FN2090A-1-06 / 802490-SF,FN2090A-1-06,817-2400-ND,1,each,1,55.46,Immediate,Enclosure mains: Manufactured two-stage EMI filter,Exact filter. Final Canadian cart confirms Immediate availability and CAD55.46.
ORDER-LINE-052,CS-052,43025-0600,0430250600,WM1785-ND,1,each,2,1.6,Immediate,Sensor harness: Six-position cable receptacle housing,Exact accepted MPN; no substitution.
ORDER-LINE-053,CS-053,6200.2300,6200.23,486-1032-ND,1,each,1,6.61,Immediate,Enclosure: Standard mains input,6200.23 is DigiKey shortened notation for6200.2300; legacy DigiKey catalog maps same486-1032-ND to6200.2300. Flange C14 fused6.3mm FASTON matches.
ORDER-LINE-055,CS-055,0215002.MXP,0215002.MXP,F4609-ND,2,each,2,7.3,Immediate,Mains: 2 A time-lag inlet fuse F1; Service 2 A time-lag cartridge,"Two required fuses, one each for the inlet and service holder. No extra fuse pack added."
ORDER-LINE-056,CS-056,1590ZGRP243,1590ZGRP243,HM1993-ND,1,each,1,255.61,Immediate,Enclosure: Flame-rated splash-resistant enclosure,Exact accepted MPN; no substitution.
ORDER-LINE-057,CS-057,467MP (25mm wide converter strip or sheet),467MP-1-5,1067-467MP-1-5-ND,1,18 x 64mm patch,1,19.65,Immediate,Sensor mount: Thin uniform adhesive film for sensor-to-glass mounting,"Same 467MP 0.058 mm adhesive in a 25.4 mm wide x 4.6 m converter roll. Cut intact 18 x 64 mm sensor patches; one roll covers all requested patches. This is the smallest economical in-stock DigiKey format found, replacing the $51.75 four-inch roll."
ORDER-LINE-059,CS-059,RC320,3-125-661,486-3-125-661-ND,1,each,1,3.06,Immediate,Enclosure: IEC rear terminal cover,"Exact Schurter RC320-01 cover, catalog part 3-125-661; live cart Immediate overrides cached research showing no stock."
ORDER-LINE-060,CS-060,43645-0300,0436450300,WM1846-ND,2,each,3,1.86,Immediate,Controller/mains harness: Three-position LV cable housing,Exact accepted MPN; no substitution.
ORDER-LINE-061,CS-061,43025-0200,0430250200,WM1783-ND,2,each,3,1.68,Immediate,12 V harness: Two-position cable housing,Exact accepted MPN; no substitution.
ORDER-LINE-065,CS-065,2-520184-2,2-520184-2,A27817-ND,8,each,10,4.26,Immediate,Mains harness: Insulated 6.35 mm receptacle,Exact accepted MPN; no substitution.
ORDER-LINE-066,CS-066,31886,31886,A27238-ND,2,each,2,1.72,Immediate,PE harness: Inlet and filter PE stud ring,Exact accepted MPN; no substitution.
ORDER-LINE-067,CS-067,320551,320551,A27237-ND,1,each,1,0.62,Immediate,PE harness: Pigtail PE stud ring,Exact accepted MPN; no substitution.
ORDER-LINE-068,CS-068,M3231,M3231,3720-M3231-ND,1,each,1,2.01,Immediate,Enclosure: Output cord gland,Exact accepted MPN; no substitution.
ORDER-LINE-069,CS-069,6009.1315,11-00017,839-11-00017-ND,1,each,1,8.78,Immediate,Enclosure: Detachable mains input cord,"Tensility NEMA 5-15P to C13, 18 AWG SJT, 10 A 125 VAC, UL/cUL cord; 2.0 m versus original 2.5 m."
ORDER-LINE-071,CS-071,10-02248,10-02248,839-10-02248-ND,1,each,1,5.03,Immediate,Service kit: Barrel adapter cable for JST XH service harness,Exact accepted MPN; no substitution.
ORDER-LINE-072,CS-072,01500274Z,01500274Z,F1468-ND,1,each,1,6.25,Immediate,Service kit: Service inline fuse holder,Exact accepted MPN; no substitution.
ORDER-LINE-073,CS-073,XHP-2,XHP-2,455-2266-ND,1,each,2,0.32,Immediate,Service harness: Two-position 5 V service housing,Exact accepted MPN; no substitution.
ORDER-LINE-074,CS-074,SXH-001T-P0.6,BXH-001T-P0.6,BXH-001T-P0.6-ND,2,each,10,0.73,Immediate,Service harness: 5 V service crimp contacts,"JST BXH is the loose-contact form of SXH, same mating housing and wire range."
ORDER-LINE-075,CS-075,43030-0007,0430300007,WM1837-ND,16,each,25,5.89,Immediate,Sensor and board-to-board harnesses: Female crimp contact,25contacts cost5.89CAD versus24 cost6.024CAD; exact same contact.
ORDER-LINE-077,CS-077,8463,8463,3720-8463-ND,1,each,2,1.0,Immediate,Enclosure and assembly stock: Black nylon1/2NPT gland locknut,Exact accepted MPN; no substitution.
ORDER-LINE-083,CS-083,Nonconductive cable-tie base;15–20mm square,3240707,277-16905-ND,2,each,3,0.48,Immediate,Enclosure and assembly stock: Glass-side external cable anchors,Phoenix ABS nonconductive19.1mm square tie base matches15–20mm requirement; accepts ties<=4mm. Use specified anchor adhesive preparation; received bond unmeasured.
ORDER-LINE-086,CS-086,M4 nylon nut,04M040070HN,RPC6312-ND,40,each,50,8.01,Immediate,Enclosure and assembly stock: Frame/base elevation locking nuts,"M4 nylon nut, 3 mm thick and 6.91 mm width. Fifty cost less than 48."
ORDER-LINE-087,CS-087,M4 nylon flat washer,16M04090080,RPC10430-ND,40,each,50,4.97,Immediate,Enclosure and assembly stock: Frame/base washers,"4.30 mm bore, 9 mm OD, 0.80 mm thick nylon washer. Fifty cost less than 48. Include actual washer thickness when setting effective spacer heights."
ORDER-LINE-091,CS-091,M3 plain insulating spacer; 7 mm effective; OD <=8 mm,R30-6700794,952-2015-ND,4,each,5,4.72,Immediate,Enclosure and assembly stock: Lower PCB supports,"Unthreaded nylon spacer: 7 mm length, 3.2 mm bore, 5 mm OD. Final Canadian cart confirms Immediate availability and CAD4.72 for five."
ORDER-LINE-092,CS-092,M3 plain insulating spacer;3mm effective;OD<=8mm,R30-6700394,952-1526-ND,4,each,5,2.39,Immediate,Enclosure and assembly stock: Upper PCB spacers,"Harwin3mm long unthreaded nylon,3.2mm bore/5mmOD matches upper PCB spacer exact specification;5qty pricebreak2.22CAD."
ORDER-LINE-093,CS-093,M3 x 16 mm nylon pan-head bolt,50M030050P016,RPC7004-ND,4,each,6,1.13,Immediate,Enclosure and assembly stock: Lower PCB through-bolts,"M3 x 0.5, 16 mm under-head length, Phillips panhead, nylon; approximately 5.4 mm head diameter and 2.3 mm head height."
ORDER-LINE-094,CS-094,M3x12 countersunk nylon screw,50M030050H012,145-50M030050H012-ND,12,each,16,2.72,Immediate,Enclosure and assembly stock: Corner stop and upper rail through-fasteners,"M3 x 0.5 nylon slotted flat-head screw; 12 mm overall length, 10.3 mm below head, 6.3 mm head diameter. Match the countersink to the actual screw head. Final Canadian cart confirms CAD2.72 for sixteen."
ORDER-LINE-095,CS-095,M3 nylon nut;OD<=8mm,04M030050HN,RPC7082-ND,16,each,20,2.56,Immediate,Enclosure and assembly stock: Corner-stop and upper-support nuts,M3 x 0.5 nylon nut; approximately 5.33 mm across flats fits the PCB mounting envelope.
ORDER-LINE-096,CS-096,M3 nylon flat washer;OD<=8mm,MFW030A,RPC1552-ND,32,each,50,4.7,Immediate,Enclosure and assembly stock: PCB/corner-stop washers,"3.2 mm bore, 7.01 mm OD, 0.51 mm thick nylon washer; OD below 8 mm mounting limit. Fifty cost less than BOM stock quantity 48."
ORDER-LINE-102,CS-102,M4 x 30 mm nylon bolt,50M040070D030,RPC7018-ND,2,each,5,1.03,Immediate,Enclosure and assembly stock: PE bracket base bolts,"M4 x 0.7 nylon slotted cheese-head bolt; 30 mm under-head length, 7 mm head diameter and 2.6 mm head height. Final Canadian cart confirms CAD1.03 for five."
